"PID";"Original tittel"
"16F09481-8E28-4D82-9492-24F74F6BC44C";"Lexis. Poetica, retorica e comunicazione nella tradizione classica"
"1707A8CA-2985-40A9-870F-775631775B4B";"U.W.  Weiher"
"1708042F-EA90-4CFD-8910-0D5082201C98";"VGE Verlag GmbH"
"1725B6CE-E816-4050-BF2D-2FBF40693C46";"International Association of Online Engineering"
"173DDBEF-DF55-4F0B-93D2-DA333B6922EE";"American Society for Biochemistry and Molecular Biology"
"175507FD-C3FD-4855-8B4A-F8259FE39250";"Verlag des Römisch-Germanischen Zentralmuseums"
"1759E239-F11E-402D-84DF-B76634D27072";"McNeese University"
"1779DE52-705F-4A77-8282-B0A250F3408C";"Unipax"
"177E40CC-5C55-44BB-9A64-F40B34E87199";"Odense Universitetsforlag"
"177F155D-B259-4401-8BB4-906320DC0B42";"The Japan Society of Naval Architects and Ocean Engineers"
"17882747-711F-4D53-9658-29244E7DC9BE";"Centre for Consumer Science"
"1798CB80-2981-4670-BA36-06132903DD06";"The Yolanda and David Katz Faculty of Arts"
"179F1923-BF81-4F67-88DC-DECDFFB041A2";"University College Dublin Press"
"17B7BA8F-9EE1-41E9-A23C-D4A8C2AA0C0E";"Spon press"
"17B8FAF5-A02E-4F98-97CF-A572B4B3AD3D";"Ediciones Clasicás"
"17DD78D1-9FD4-41FB-A190-82A44843278A";"The World Congress on Engineering and Computer Science (WCECS)"
"17E547DF-1C31-4370-AAC8-95BFFCFE22B2";"AMAP - Arctic Monitoring and Assessment Programme"
"17E839AD-EAFA-4BEC-B1BB-12D345E285EB";"City University of Hong Kong Press"
"17F405C4-F766-4500-AADF-47346EBD0539";"School of Advanced Study, University of London"
"1800DED2-2D1D-4869-9747-12862BAA5FD1";"Schwabe Verlag"
"1841466F-FB53-4A8A-9964-6BC0BBCF12C8";"Hanul"
"18419A84-3C5F-469F-8400-9A23E3789EB6";"Ex Tuto Publishing"
"185C05CE-431B-4983-AE65-B84CA62F0A49";"George Mason University"
"186FB266-1599-48C9-8160-91D183D31993";"Society of Naval Architects and Marine Engineers"
"1886D44F-32B7-4434-B099-73C62E63A6FE";"College of the Holy Cross"
"18A5D06C-8E87-4F9F-9868-7CE9A891B1E2";"Asociacion de Antropologia"
"18B1220C-98E3-4CFC-969F-A699A1DD70EC";"Ergon-Verlag"
"18B1939B-EB63-4DEC-9DED-0CF445D121DD";"Einaudi"
"18B7C52E-4EB4-476B-BB8B-D99EBEB37281";"Forskningsrådet Formas"
